ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer
1.0,산업위생관리기사,2003.0,1,산업위생학개론,9.0,최근 우리나라에서 특수건강진단을 통해 가장 많이 발생되고 있는 직업병 유소견자는?,text_only,,진폐증 유소견자,유기용제중독 유소견자,소음성 난청 유소견자,피부염 유소견자,3.0
2.0,산업위생관리기사,2003.0,1,산업위생학개론,13.0,작업대사율에 관한 설명중 틀린 것은?,text_only,,중등작업은 지적 활동을 포함 한다.,중작업은 작업대사율이 4~7일 때이며 수시로 휴식 시간을 요한다.,강작업의 RMR은 2~4일 때이며 실동률은 76~67% 범위이다.,RMR 4를 계속작업의 한계로 보며 이를 넘으면 수시로 휴식시간을 부여하여야 한다.,4.0
3.0,산업위생관리기사,2003.0,2,산업위생학개론,2.0,"전신피로상태라 판단될 수 있는 경우는? (단, 작업을 마친 직후 회복기의 심박수를 측정하여 HR$_{30-60}$ : 작업 종료 후 30-60초 사이의 평균 맥박수, HR$_{60-90}$ : 작업 종료 후 60-90초 사이의 평균 맥박수, HR$_{150-180}$ : 작업 종료 후 150-180초 사이의 평균 맥박수를 구한 수치를 적용하는 경우)",text_only,,HR$_{30-60}$ 이 100 미만이고 HR$_{60-90}$ 과 HR$_{150-180}$ 의 차이가 20 이상인 경우,HR$_{30-60}$ 이 100 초과하고 HR$_{60-90}$ 과 HR$_{150-180}$ 의 차이가 20 미만인 경우,HR$_{30-60}$ 이 110 미만이고 HR$_{60-90}$ 과 HR$_{150-180}$ 의 차이가 10 이상인 경우,HR$_{30-60}$ 이 110 초과하고 HR$_{60-90}$ 과 HR$_{150-180}$ 의 차이가 10 미만인 경우,4.0
4.0,산업위생관리기사,2003.0,3,산업위생학개론,9.0,다음 중 우리나라 산업재해 보상 보험급여의 종류와 가장 거리가 먼 것은?,text_only,,요양급여,장해급여,장의비,재활급여,4.0
5.0,산업위생관리기사,2004.0,1,산업위생학개론,5.0,인간공학에 관한 설명으로 알맞지 않은 것은?,text_only,,기업에 있어서 인간공학의 역할은 생산에 있어 인간과 기계관계를 합리화 시키는데 있다.,인간공학이 중요시되는 이유는 생산경쟁이 격심해짐에 따라 생산성을 증대시키고자 하기 때문이다.,"인간공학에서 고려해야 할 인간의 특성은 민족, 작업환경, 집단에 대한 적응능력 등이다.","인간공학은 공장의 기계설치시 준비단계, 선택단계 활용단계로 나누어 고려되어 진다.",4.0
6.0,산업위생관리기사,2004.0,1,산업위생학개론,18.0,"분진발생공정에서 측정한 호흡성분진의 농도가 각각 2.5, 2.8, 3.1, 2.6 ㎎/m³인 경우 기하평균 농도(㎎/m³)는?",text_only,,2.62,2.68,2.74,2.79,3.0
7.0,산업위생관리기사,2004.0,2,산업위생학개론,15.0,다음의 이 사람은 누구인가? \n\n미 사업의 미국이 머리서로서 협력적 의미의 최초 산업 위생전문가(혹은 최초 산업의학자) 라고 하며 1910년 납중독을 시작으로 40 여년간 각종 직업병을 발견하고 직업환경개선에 일생을 바쳐 Harvard 의대 교수 된 저작하였다. 그녀의 이름을 인정해 미국 Cincinnati에 있는 NIOSH 연구소를 입명 미 사람 연구소라도 한다.,text_only,,Berger,Hamilton,Baker,Patty,2.0
8.0,산업위생관리기사,2018.0,1,물리적유해인자관리,69.0,적외선의 생체작용에 관한 설명으로 틀린 것은?,text_only,,조직에서의 흡수는 수분함량에 따라 다르다.,적외선이 조직에 흡수되면 화학반응을 일으켜 조직의 온도가 상승한다.,적외선이 신체에 조사되면 일부는 피부에서 반사되고 나머지는 조직에 흡수된다.,조사부위의 온도가 오르면 혈관이 확장되어 혈류가 증가되며 심하면 홍반을 유발하기도 한다.,2.0
9.0,산업위생관리기사,2005.0,1,산업위생학개론,3.0,간기능 장애가 있는 자에게 적합하지 않은 작업은?,text_only,,분진작업,화학공업,외상(外傷)받기 쉬운 작업,일반 기계공업,2.0
10.0,산업위생관리기사,2005.0,1,산업위생학개론,5.0,국소피로의 평가를 위하여 근전도(EMG)를 측정하였다. 피로한 근육이 정상 근육에 비하여 나타내는 근전도상의 차이로 알맞지 않는 것은 ?,text_only,,평균주파수의 감소,총전압의 감소,저주파수(0-40Hz)의 힘의 증가,고주파수(40-200Hz)의 힘의 감소,2.0
