ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,예측답,정답여부,모델응답,question_duration,question_emissions_g,question_emissions_rate,question_energy_wh,question_energy_consumed,question_cpu_energy_wh,question_cpu_energy,question_gpu_energy_wh,question_gpu_energy,question_ram_energy_wh,question_ram_energy,question_cpu_emissions_g,question_gpu_emissions_g,question_ram_emissions_g,total_emissions_g,total_emissions,total_emissions_rate,total_energy_wh,total_energy_consumed,total_cpu_energy_wh,total_cpu_energy,total_gpu_energy_wh,total_gpu_energy,total_ram_energy_wh,total_ram_energy,total_cpu_emissions_g,total_gpu_emissions_g,total_ram_emissions_g,cpu_power,gpu_power,ram_power,carbon_intensity,country_name,country_iso_code,region,cloud_provider,cloud_region,timestamp,duration,tracking_mode,on_cloud,pue,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,python_version,os,codecarbon_version,문제번호,프롬프트
1,인간공학기사,2012,1,작업생리학,40,"다음 중 고온 작업장에서의 작업시 신체 내부의 체온조절 계통의 기능이 상실되어 발생하며, 체온이 과도하게 오를 경우 사망에 이를 수 있는 고열장해를 무엇이라 하는가?",text_only,,열소모,열사병,열발진,참호족,2,qwen2.5-32b-instruct,300,212,0,70.67,366.25,0.77,140,2,142,2,True,2,0.7656,0.013283,2e-08,0.0288,2.88e-05,0.009,9e-06,0.0117,1.17e-05,0.0081,8.1e-06,0.004568,0.005911,0.004082,6.35215672414858,0.0035252734920965,9.62517149440738e-06,13.78308686222984,0.01378308686222984,4.3236571667325,0.0043236571667325,5.5955725100000375,0.005595572510000038,3.8638571854973,0.0038638571854973,2.184311600633259,2.826883232052019,1.9520206501132358,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T16:38:49,366.2556552000024,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,1,"문제: 다음 중 고온 작업장에서의 작업시 신체 내부의 체온조절 계통의 기능이 상실되어 발생하며, 체온이 과도하게 오를 경우 사망에 이를 수 있는 고열장해를 무엇이라 하는가?

선택지:
1. 열소모
2. 열사병
3. 열발진
4. 참호족

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
2,인간공학기사,2013,3,근골격계질환 예방을 위한 작업관리,70,다음 중 방법 연구(method engineering)와 관련이 가장 적은 것은?,text_only,,신체 활동 분석,작업 및 공정 연구,작업시간의 측정 및 응용,"재료, 공구설비 및 작업조건 분석",3,qwen2.5-32b-instruct,300,212,0,70.67,366.25,0.72,118,2,120,1,False,1,0.722,0.012528,1.9e-08,0.0272,2.72e-05,0.0085,8.5e-06,0.011,1.1e-05,0.0076,7.6e-06,0.004308,0.005575,0.00385,6.35215672414858,0.0035252734920965,9.62517149440738e-06,13.78308686222984,0.01378308686222984,4.3236571667325,0.0043236571667325,5.5955725100000375,0.005595572510000038,3.8638571854973,0.0038638571854973,2.184311600633259,2.826883232052019,1.9520206501132358,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T16:38:49,366.2556552000024,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,2,"문제: 다음 중 방법 연구(method engineering)와 관련이 가장 적은 것은?

선택지:
1. 신체 활동 분석
2. 작업 및 공정 연구
3. 작업시간의 측정 및 응용
4. 재료, 공구설비 및 작업조건 분석

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
3,인간공학기사,2020,"1,2",근골격계질환 예방을 위한 작업관리,68,"근골격계질환의 발생원인을 개인적 특성요인과 작업 특성요인으로 구분할 때, 개인적 특성요인에 해당하는 것은?",text_only,,반복적인 동작,무리한 힘의 사용,작업방법 및 기술수준,동력을 이용한 공구 사용 시 진동,3,qwen2.5-32b-instruct,300,212,0,70.67,366.25,1.51,141,10,151,0,False,이 문제에서 제시된 선택지들은,1.508,0.026164,4e-08,0.0568,5.68e-05,0.0178,1.78e-05,0.023,2.3e-05,0.0159,1.59e-05,0.008997,0.011644,0.00804,6.35215672414858,0.0035252734920965,9.62517149440738e-06,13.78308686222984,0.01378308686222984,4.3236571667325,0.0043236571667325,5.5955725100000375,0.005595572510000038,3.8638571854973,0.0038638571854973,2.184311600633259,2.826883232052019,1.9520206501132358,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T16:38:49,366.2556552000024,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,3,"문제: 근골격계질환의 발생원인을 개인적 특성요인과 작업 특성요인으로 구분할 때, 개인적 특성요인에 해당하는 것은?

선택지:
1. 반복적인 동작
2. 무리한 힘의 사용
3. 작업방법 및 기술수준
4. 동력을 이용한 공구 사용 시 진동

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
4,인간공학기사,2013,1,인간공학개론,20,다음 중 시력에 관한 설명으로 틀린 것은?,text_only,,"눈의 조절능력이 불충분한 경우, 근시 또는 원시가 된다.",시력은 세부적인 내용을 시각적으로 식별할 수 있는 능력을 말한다.,눈이 초점을 맞출 수 없는 가장 먼 거리를 원점이라 하는데 정상 시각에서 원점은 거의 무한하다.,여러 유형의 시력은 주로 망막 위에 초점이 맞추어지도록 홍채의 근육에 의한 눈의 조절능력에 달려있다.,4,qwen2.5-32b-instruct,300,212,0,70.67,366.25,1.93,202,10,212,1,False,"1

근시와 원시는 모두",1.9337,0.03355,5.1e-08,0.0728,7.28e-05,0.0228,2.28e-05,0.0296,2.96e-05,0.0204,2.04e-05,0.011537,0.014931,0.01031,6.35215672414858,0.0035252734920965,9.62517149440738e-06,13.78308686222984,0.01378308686222984,4.3236571667325,0.0043236571667325,5.5955725100000375,0.005595572510000038,3.8638571854973,0.0038638571854973,2.184311600633259,2.826883232052019,1.9520206501132358,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T16:38:49,366.2556552000024,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,4,"문제: 다음 중 시력에 관한 설명으로 틀린 것은?

선택지:
1. 눈의 조절능력이 불충분한 경우, 근시 또는 원시가 된다.
2. 시력은 세부적인 내용을 시각적으로 식별할 수 있는 능력을 말한다.
3. 눈이 초점을 맞출 수 없는 가장 먼 거리를 원점이라 하는데 정상 시각에서 원점은 거의 무한하다.
4. 여러 유형의 시력은 주로 망막 위에 초점이 맞추어지도록 홍채의 근육에 의한 눈의 조절능력에 달려있다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
5,인간공학기사,2015,1,근골격계질환 예방을 위한 작업관리,71,다음 중 근골격계 질환과 가장 관련이 없는 것은?,text_only,,VDT 증후군,반복긴장성손상(RSI),누적외상성질환(CTDs),외상후스트레스증후군(PTSD),4,qwen2.5-32b-instruct,300,212,0,70.67,366.25,0.73,123,2,125,4,True,4,0.7258,0.012593,1.9e-08,0.0273,2.73e-05,0.0086,8.6e-06,0.0111,1.11e-05,0.0077,7.7e-06,0.00433,0.005604,0.00387,6.35215672414858,0.0035252734920965,9.62517149440738e-06,13.78308686222984,0.01378308686222984,4.3236571667325,0.0043236571667325,5.5955725100000375,0.005595572510000038,3.8638571854973,0.0038638571854973,2.184311600633259,2.826883232052019,1.9520206501132358,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T16:38:49,366.2556552000024,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,5,"문제: 다음 중 근골격계 질환과 가장 관련이 없는 것은?

선택지:
1. VDT 증후군
2. 반복긴장성손상(RSI)
3. 누적외상성질환(CTDs)
4. 외상후스트레스증후군(PTSD)

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
6,인간공학기사,2010,3,산업심리학 및 관계법규,50,다음 중 작업에 수반되는 피로를 줄이기 위한 대책으로 적절하지 않은 것은?,text_only,,작업부하의 경감,동적 동작의 제거,작업속도의 조절,작업 및 휴식시간의 조절,2,qwen2.5-32b-instruct,300,212,0,70.67,366.25,0.73,122,2,124,2,True,2,0.7273,0.012619,1.9e-08,0.0274,2.74e-05,0.0086,8.6e-06,0.0111,1.11e-05,0.0077,7.7e-06,0.004339,0.005616,0.003878,6.35215672414858,0.0035252734920965,9.62517149440738e-06,13.78308686222984,0.01378308686222984,4.3236571667325,0.0043236571667325,5.5955725100000375,0.005595572510000038,3.8638571854973,0.0038638571854973,2.184311600633259,2.826883232052019,1.9520206501132358,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T16:38:49,366.2556552000024,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,6,"문제: 다음 중 작업에 수반되는 피로를 줄이기 위한 대책으로 적절하지 않은 것은?

선택지:
1. 작업부하의 경감
2. 동적 동작의 제거
3. 작업속도의 조절
4. 작업 및 휴식시간의 조절

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
7,인간공학기사,2019,1,인간공학개론,17,인간공학을 지칭하는 용어로 적절하지 않은 것은?,text_only,,Biology,Ergonomics,Human factors,Human factors engineering,1,qwen2.5-32b-instruct,300,212,0,70.67,366.25,0.71,95,2,97,1,True,1,0.7083,0.01229,1.9e-08,0.0267,2.67e-05,0.0084,8.4e-06,0.0108,1.08e-05,0.0075,7.5e-06,0.004226,0.00547,0.003777,6.35215672414858,0.0035252734920965,9.62517149440738e-06,13.78308686222984,0.01378308686222984,4.3236571667325,0.0043236571667325,5.5955725100000375,0.005595572510000038,3.8638571854973,0.0038638571854973,2.184311600633259,2.826883232052019,1.9520206501132358,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T16:38:49,366.2556552000024,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,7,"문제: 인간공학을 지칭하는 용어로 적절하지 않은 것은?

선택지:
1. Biology
2. Ergonomics
3. Human factors
4. Human factors engineering

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
8,인간공학기사,2011,1,인간공학개론,9,다음 중 Fitts의 법칙에 관한 설명으로 옳은 것은?,text_only,,"표적이 작을수록, 이동거리가 길수록 작업의 난이도와 소요 이동시간이 증가한다.","표적이 클수록, 이동거리가 길수록 작업의 난이도와 소요 이동시간이 증가한다.",표적과 이동거리는 작업의 난이도와 소요 이동시간과 무관하다.,"표적이 작을수록, 이동거리가 짧을수록 작업의 난이도와 소요 이동시간이 증가한다.",1,qwen2.5-32b-instruct,300,212,0,70.67,366.25,1.2,205,2,207,1,True,1,1.204,0.02089,3.2e-08,0.0453,4.53e-05,0.0142,1.42e-05,0.0184,1.84e-05,0.0127,1.27e-05,0.007183,0.009297,0.00642,6.35215672414858,0.0035252734920965,9.62517149440738e-06,13.78308686222984,0.01378308686222984,4.3236571667325,0.0043236571667325,5.5955725100000375,0.005595572510000038,3.8638571854973,0.0038638571854973,2.184311600633259,2.826883232052019,1.9520206501132358,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T16:38:49,366.2556552000024,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,8,"문제: 다음 중 Fitts의 법칙에 관한 설명으로 옳은 것은?

선택지:
1. 표적이 작을수록, 이동거리가 길수록 작업의 난이도와 소요 이동시간이 증가한다.
2. 표적이 클수록, 이동거리가 길수록 작업의 난이도와 소요 이동시간이 증가한다.
3. 표적과 이동거리는 작업의 난이도와 소요 이동시간과 무관하다.
4. 표적이 작을수록, 이동거리가 짧을수록 작업의 난이도와 소요 이동시간이 증가한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
9,인간공학기사,2016,3,작업생리학,23,순환기계 혈액의 기능에 해당하지 않는 것은?,text_only,,운반작용,연하작용,조절작용,출혈방지,2,qwen2.5-32b-instruct,300,212,0,70.67,366.25,0.71,102,2,104,2,True,2,0.7075,0.012276,1.9e-08,0.0266,2.66e-05,0.0084,8.4e-06,0.0108,1.08e-05,0.0075,7.5e-06,0.004221,0.005463,0.003772,6.35215672414858,0.0035252734920965,9.62517149440738e-06,13.78308686222984,0.01378308686222984,4.3236571667325,0.0043236571667325,5.5955725100000375,0.005595572510000038,3.8638571854973,0.0038638571854973,2.184311600633259,2.826883232052019,1.9520206501132358,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T16:38:49,366.2556552000024,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,9,"문제: 순환기계 혈액의 기능에 해당하지 않는 것은?

선택지:
1. 운반작용
2. 연하작용
3. 조절작용
4. 출혈방지

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
10,인간공학기사,2017,1,작업생리학,38,열교환의 네 가지 방법이 아닌 것은?,text_only,,복사(radiation),대류(convection),증발(evaporation),대사(metabolism),4,qwen2.5-32b-instruct,300,212,0,70.67,366.25,1.45,102,10,112,4,True,"4

대사(metabolism)",1.4483,0.025129,3.8e-08,0.0545,5.45e-05,0.0171,1.71e-05,0.0221,2.21e-05,0.0153,1.53e-05,0.008641,0.011183,0.007722,6.35215672414858,0.0035252734920965,9.62517149440738e-06,13.78308686222984,0.01378308686222984,4.3236571667325,0.0043236571667325,5.5955725100000375,0.005595572510000038,3.8638571854973,0.0038638571854973,2.184311600633259,2.826883232052019,1.9520206501132358,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T16:38:49,366.2556552000024,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,10,"문제: 열교환의 네 가지 방법이 아닌 것은?

선택지:
1. 복사(radiation)
2. 대류(convection)
3. 증발(evaporation)
4. 대사(metabolism)

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
