ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,예측답,정답여부,모델응답,question_duration,question_emissions_g,question_emissions_rate,question_energy_wh,question_energy_consumed,question_cpu_energy_wh,question_cpu_energy,question_gpu_energy_wh,question_gpu_energy,question_ram_energy_wh,question_ram_energy,question_cpu_emissions_g,question_gpu_emissions_g,question_ram_emissions_g,total_emissions_g,total_emissions,total_emissions_rate,total_energy_wh,total_energy_consumed,total_cpu_energy_wh,total_cpu_energy,total_gpu_energy_wh,total_gpu_energy,total_ram_energy_wh,total_ram_energy,total_cpu_emissions_g,total_gpu_emissions_g,total_ram_emissions_g,cpu_power,gpu_power,ram_power,carbon_intensity,country_name,country_iso_code,region,cloud_provider,cloud_region,timestamp,duration,tracking_mode,on_cloud,pue,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,python_version,os,codecarbon_version,Unnamed: 14,문제번호,프롬프트
1,소방안전교육사,2018,A,교육학개론,80,다음 제시문의 설명에 해당하는 교육과정은?\n\n◯ 아이즈너(E. Eisner)가 쓴 책 ≪The educational imagination≫을 통해 소개되었다.\n◯ 학교에서 가르쳐야 할 중요한 내용이 있음에도 불구하고 공식적인 교육과정에 포함되지 않은 것을 뜻한다.,text_only,,영(零) 교육과정,잠재적 교육과정,명시적 교육과정,실제적 교육과정,1,qwen2.5-32b-instruct,300,206,0,68.67,407.4,1.15,169,2,171,2,False,2,1.1484,0.019926,2.7e-08,0.0432,4.32e-05,0.0136,1.36e-05,0.0176,1.76e-05,0.0121,1.21e-05,0.006852,0.008867,0.006123,7.0665226205173255,0.0039217503219171,9.625299818412142e-06,15.333145895777449,0.015333145895777448,4.8098798015277,0.0048098798015277,6.224806608472247,0.006224806608472247,4.2984594857774,0.0042984594857774,2.429951275731794,3.144772298600179,2.1715817322147424,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-19T15:52:30,407.4418871000016,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,1,"문제: 다음 제시문의 설명에 해당하는 교육과정은?\n\n◯ 아이즈너(E. Eisner)가 쓴 책 ≪The educational imagination≫을 통해 소개되었다.\n◯ 학교에서 가르쳐야 할 중요한 내용이 있음에도 불구하고 공식적인 교육과정에 포함되지 않은 것을 뜻한다.

선택지:
1. 영(零) 교육과정
2. 잠재적 교육과정
3. 명시적 교육과정
4. 실제적 교육과정

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
2,소방안전교육사,2022,A,교육학개론,76,형식적 교육에 관한 설명으로 옳은 것은?,text_only,,형식적 교육은 교육의 3요소가 필요 없다.,가정교육은 형식적 교육의 대표적 유형이다.,학교의 소방안전 교육은 형식적 교육에 속한다.,"형식적 교육은 비의도적, 비체계적으로 이루어진다.",3,qwen2.5-32b-instruct,300,206,0,68.67,407.4,0.79,153,2,155,3,True,3,0.7895,0.013698,1.9e-08,0.0297,2.97e-05,0.0093,9.3e-06,0.0121,1.21e-05,0.0083,8.3e-06,0.00471,0.006096,0.004209,7.0665226205173255,0.0039217503219171,9.625299818412142e-06,15.333145895777449,0.015333145895777448,4.8098798015277,0.0048098798015277,6.224806608472247,0.006224806608472247,4.2984594857774,0.0042984594857774,2.429951275731794,3.144772298600179,2.1715817322147424,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-19T15:52:30,407.4418871000016,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,2,"문제: 형식적 교육에 관한 설명으로 옳은 것은?

선택지:
1. 형식적 교육은 교육의 3요소가 필요 없다.
2. 가정교육은 형식적 교육의 대표적 유형이다.
3. 학교의 소방안전 교육은 형식적 교육에 속한다.
4. 형식적 교육은 비의도적, 비체계적으로 이루어진다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
3,소방안전교육사,2016,A,재난관리론,67,자연재해대책법령상 ( )안에 들어갈 내용으로 옳은 것은?\n\n대규모 재해복구사업은 법 제46조제2항에 따라 확정·통보된 재해복구계획을 기준으로 총 복구비(용지보상비를 포함한다)가 ( ) 이상인 사업을 말한다.,text_only,O,20억원,30억원,40억원,50억원,4,qwen2.5-32b-instruct,300,206,0,68.67,407.4,1.15,173,2,175,2,False,2,1.1466,0.019895,2.7e-08,0.0432,4.32e-05,0.0135,1.35e-05,0.0175,1.75e-05,0.0121,1.21e-05,0.006841,0.008854,0.006114,7.0665226205173255,0.0039217503219171,9.625299818412142e-06,15.333145895777449,0.015333145895777448,4.8098798015277,0.0048098798015277,6.224806608472247,0.006224806608472247,4.2984594857774,0.0042984594857774,2.429951275731794,3.144772298600179,2.1715817322147424,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-19T15:52:30,407.4418871000016,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,3,"문제: 자연재해대책법령상 ( )안에 들어갈 내용으로 옳은 것은?\n\n대규모 재해복구사업은 법 제46조제2항에 따라 확정·통보된 재해복구계획을 기준으로 총 복구비(용지보상비를 포함한다)가 ( ) 이상인 사업을 말한다.

선택지:
1. 20억원
2. 30억원
3. 40억원
4. 50억원

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
4,소방안전교육사,2018,A,재난관리론,69,자연재해대책법령상 수해 내구성강화를 위하여 수방기준을 정하여야 하는 시설물이 아닌 것은?,text_only,O,「하천법」 제2조제3호에 따른 하천시설,「댐건설 및 주변지역지원 등에 관한 법률」 제2조제1호에 따른 댐,「사방사업법」 제2조제3호에 따른 농업생산기반시설,「국토의 계획 및 이용에 관한 법률」 제2조제6호에 따른 기반시설,3,qwen2.5-32b-instruct,300,206,0,68.67,407.4,1.15,187,2,189,3,True,3,1.1542,0.020027,2.7e-08,0.0435,4.35e-05,0.0136,1.36e-05,0.0176,1.76e-05,0.0122,1.22e-05,0.006887,0.008913,0.006154,7.0665226205173255,0.0039217503219171,9.625299818412142e-06,15.333145895777449,0.015333145895777448,4.8098798015277,0.0048098798015277,6.224806608472247,0.006224806608472247,4.2984594857774,0.0042984594857774,2.429951275731794,3.144772298600179,2.1715817322147424,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-19T15:52:30,407.4418871000016,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,4,"문제: 자연재해대책법령상 수해 내구성강화를 위하여 수방기준을 정하여야 하는 시설물이 아닌 것은?

선택지:
1. 「하천법」 제2조제3호에 따른 하천시설
2. 「댐건설 및 주변지역지원 등에 관한 법률」 제2조제1호에 따른 댐
3. 「사방사업법」 제2조제3호에 따른 농업생산기반시설
4. 「국토의 계획 및 이용에 관한 법률」 제2조제6호에 따른 기반시설

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
5,소방안전교육사,2022,A,재난관리론,73,자연재해대책법령상 재해 유형별 행동 요령으로 대비단계에 포함되는 사항으로 옳은 것은?,text_only,O,보건위생 및 쓰레기 처리에 관한 사항,피해 발생이 우려되는 시설의 점검 · 관리에 관한 사항,통신 · 전력 · 가스 · 수도 등 국민생활에 필수적인 시설의 응급복구에 관한 사항,방재물자 · 통원장비의 확보 · 지정 및 관리에 관한 사항,2,qwen2.5-32b-instruct,300,206,0,68.67,407.4,1.15,186,2,188,2,True,2,1.1547,0.020036,2.7e-08,0.0435,4.35e-05,0.0136,1.36e-05,0.0176,1.76e-05,0.0122,1.22e-05,0.00689,0.008917,0.006157,7.0665226205173255,0.0039217503219171,9.625299818412142e-06,15.333145895777449,0.015333145895777448,4.8098798015277,0.0048098798015277,6.224806608472247,0.006224806608472247,4.2984594857774,0.0042984594857774,2.429951275731794,3.144772298600179,2.1715817322147424,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-19T15:52:30,407.4418871000016,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,5,"문제: 자연재해대책법령상 재해 유형별 행동 요령으로 대비단계에 포함되는 사항으로 옳은 것은?

선택지:
1. 보건위생 및 쓰레기 처리에 관한 사항
2. 피해 발생이 우려되는 시설의 점검 · 관리에 관한 사항
3. 통신 · 전력 · 가스 · 수도 등 국민생활에 필수적인 시설의 응급복구에 관한 사항
4. 방재물자 · 통원장비의 확보 · 지정 및 관리에 관한 사항

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
6,소방안전교육사,2019,B,구급 및 응급처치론,39,신경학적 검사 중 글래스고우 혼수 척도(GCS)의 평가점수로 옳은 것은?,text_only,,명령에 따라 눈을 뜬다: 개안반응 점수 4점,질문에 정확한 답변을 구사한다: 언어반응 점수 5점,자극을 주면 비정상적으로 팔을 굴곡한다: 운동반응 점수 4점,자극을 주면 비정상적으로 팔을 신전한다: 운동반응 점수 3점,2,qwen2.5-32b-instruct,300,206,0,68.67,407.4,1.19,197,2,199,2,True,2,1.1851,0.020562,2.8e-08,0.0446,4.46e-05,0.014,1.4e-05,0.0181,1.81e-05,0.0125,1.25e-05,0.007071,0.009151,0.006319,7.0665226205173255,0.0039217503219171,9.625299818412142e-06,15.333145895777449,0.015333145895777448,4.8098798015277,0.0048098798015277,6.224806608472247,0.006224806608472247,4.2984594857774,0.0042984594857774,2.429951275731794,3.144772298600179,2.1715817322147424,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-19T15:52:30,407.4418871000016,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,6,"문제: 신경학적 검사 중 글래스고우 혼수 척도(GCS)의 평가점수로 옳은 것은?

선택지:
1. 명령에 따라 눈을 뜬다: 개안반응 점수 4점
2. 질문에 정확한 답변을 구사한다: 언어반응 점수 5점
3. 자극을 주면 비정상적으로 팔을 굴곡한다: 운동반응 점수 4점
4. 자극을 주면 비정상적으로 팔을 신전한다: 운동반응 점수 3점

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
7,소방안전교육사,2014,A,구급 및 응급처치론,36,"소아가 뜨거운 물에 흉복부 앞면, 생식기, 양쪽 다리 전체에 2도 화상을 입었다. '9의 법칙'에 의한 화상의 범위는?",text_only,,28%,37%,46%,55%,3,qwen2.5-32b-instruct,300,206,0,68.67,407.4,1.51,137,10,147,3,True,"3

'9의 법칙'에",1.5083,0.02617,3.6e-08,0.0568,5.68e-05,0.0178,1.78e-05,0.0231,2.31e-05,0.0159,1.59e-05,0.008999,0.011646,0.008042,7.0665226205173255,0.0039217503219171,9.625299818412142e-06,15.333145895777449,0.015333145895777448,4.8098798015277,0.0048098798015277,6.224806608472247,0.006224806608472247,4.2984594857774,0.0042984594857774,2.429951275731794,3.144772298600179,2.1715817322147424,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-19T15:52:30,407.4418871000016,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,7,"문제: 소아가 뜨거운 물에 흉복부 앞면, 생식기, 양쪽 다리 전체에 2도 화상을 입었다. '9의 법칙'에 의한 화상의 범위는?

선택지:
1. 28%
2. 37%
3. 46%
4. 55%

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
8,소방안전교육사,2022,A,재난관리론,58,긴급구조대응활동 및 현장지휘에 관한 규칙상 표준지휘조직도에서 대응계획부의 업무로 옳은 것은?,text_only,,자원대기소 운영 및 교대조 관리,유관기관과 언론 및 보고에 관한 사항,재난상황정보의 수집 · 분석 및 상황예측,소속기관 일무수행지역의 현장 안전진단 및 안전조치,3,qwen2.5-32b-instruct,300,206,0,68.67,407.4,1.15,169,2,171,3,True,3,1.1485,0.019927,2.7e-08,0.0432,4.32e-05,0.0136,1.36e-05,0.0176,1.76e-05,0.0121,1.21e-05,0.006852,0.008868,0.006124,7.0665226205173255,0.0039217503219171,9.625299818412142e-06,15.333145895777449,0.015333145895777448,4.8098798015277,0.0048098798015277,6.224806608472247,0.006224806608472247,4.2984594857774,0.0042984594857774,2.429951275731794,3.144772298600179,2.1715817322147424,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-19T15:52:30,407.4418871000016,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,8,"문제: 긴급구조대응활동 및 현장지휘에 관한 규칙상 표준지휘조직도에서 대응계획부의 업무로 옳은 것은?

선택지:
1. 자원대기소 운영 및 교대조 관리
2. 유관기관과 언론 및 보고에 관한 사항
3. 재난상황정보의 수집 · 분석 및 상황예측
4. 소속기관 일무수행지역의 현장 안전진단 및 안전조치

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
9,소방안전교육사,2018,A,교육학개론,77,다음 제시문과 같이 학력(學歷)상승의 원인을 설명하는 이론은?\n\n◯ 학력(學歷)은 개인의 능력과 노력의 수준을 나타내는 공인된 '품질증명'이 되었다.\n◯ 남보다 한 단계라도 더 높은 학력(學歷)을 가지고 있는 것이 사회적 지위의 경쟁에서 유리하기 때문에 상급학교의 졸업장을 받으려 한다.\n◯ 학력(學歷)이 사회적 지위 획득의 수단이기 때문에 사람들이 높은 학력을 취득하고자 한다.,text_only,,학습욕구이론,지위경쟁이론,기술기능이론,국민통합이론,2,qwen2.5-32b-instruct,300,206,0,68.67,407.4,1.49,243,2,245,2,True,2,1.493,0.025905,3.5e-08,0.0562,5.62e-05,0.0176,1.76e-05,0.0228,2.28e-05,0.0158,1.58e-05,0.008908,0.011528,0.007961,7.0665226205173255,0.0039217503219171,9.625299818412142e-06,15.333145895777449,0.015333145895777448,4.8098798015277,0.0048098798015277,6.224806608472247,0.006224806608472247,4.2984594857774,0.0042984594857774,2.429951275731794,3.144772298600179,2.1715817322147424,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-19T15:52:30,407.4418871000016,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,9,"문제: 다음 제시문과 같이 학력(學歷)상승의 원인을 설명하는 이론은?\n\n◯ 학력(學歷)은 개인의 능력과 노력의 수준을 나타내는 공인된 '품질증명'이 되었다.\n◯ 남보다 한 단계라도 더 높은 학력(學歷)을 가지고 있는 것이 사회적 지위의 경쟁에서 유리하기 때문에 상급학교의 졸업장을 받으려 한다.\n◯ 학력(學歷)이 사회적 지위 획득의 수단이기 때문에 사람들이 높은 학력을 취득하고자 한다.

선택지:
1. 학습욕구이론
2. 지위경쟁이론
3. 기술기능이론
4. 국민통합이론

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
10,소방안전교육사,2022,A,구급 및 응급처치론,43,"병원 밖 심장정지 생존사슬에서 첫 번째 단계는? (단, 2020년 한국형 심폐소생술 가이드라인을 따른다.)",text_only,O,제세동,전문소생술,목격자 심폐소생술,심장정지 인지 · 구조요청,4,qwen2.5-32b-instruct,300,206,0,68.67,407.4,0.79,147,2,149,4,True,4,0.7948,0.013791,1.9e-08,0.0299,2.99e-05,0.0094,9.4e-06,0.0121,1.21e-05,0.0084,8.4e-06,0.004742,0.006137,0.004238,7.0665226205173255,0.0039217503219171,9.625299818412142e-06,15.333145895777449,0.015333145895777448,4.8098798015277,0.0048098798015277,6.224806608472247,0.006224806608472247,4.2984594857774,0.0042984594857774,2.429951275731794,3.144772298600179,2.1715817322147424,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-19T15:52:30,407.4418871000016,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,,10,"문제: 병원 밖 심장정지 생존사슬에서 첫 번째 단계는? (단, 2020년 한국형 심폐소생술 가이드라인을 따른다.)

선택지:
1. 제세동
2. 전문소생술
3. 목격자 심폐소생술
4. 심장정지 인지 · 구조요청

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
