ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer
1,경비지도사2차,2015,1,소방학,10,화재 시 가연물질 주변의 산소농도를 낮추어 소화하는 방법은?,text_only,,냉각소화,질식소화,부촉매소화,제거소화,2
2,경비지도사2차,2018,1,소방학,27,정전기 대전 방지대책으로 옳지 않은 것은?,text_only,,제전기를 사용한다.,대전체를 전기적으로 절연한다.,공기를 이온화한다.,공기 중의 상대습도를 70% 이상 유지한다.,2
3,경비지도사2차,2021,1,소방학,13,물의 적상(drop) 주수방법에 관한 내용으로 옳은 것은?,text_only,,소화전 노즐의 주수이다.,스프링클러설비 헤드의 주수로 살수라고도 한다.,물분무 소화설비 헤드의 주수이다.,C급 화재 소화에 적합하다.,2
4,경비지도사2차,2015,1,소방학,22,다음 중 분진폭발의 위험성이 없는 것은?,text_only,,밀가루,석탄가루,산화칼슘(생석회) 분말,알루미늄 분말,3
5,경비지도사2차,2020,1,소방학,12,가연성가스의 분출화재 시 주 밸브를 닫아서 연료공급을 차단하는 소화방법은?,text_only,,냉각소화,제거소화,억제소화,질식소화,2
6,경비지도사2차,2010,1,소방학,35,화재발생 상황을 단독으로 감지하고 자체에 내장된 음향장치로 경보하는 감지기는?,text_only,,차동식 스포트형감지기,정온식 스포트형감지기,단독경보형감지기,광전식 분리형감지기,3
7,경비지도사2차,2023,1,소방학,6,폭굉(Detonation)에 관한 설명으로 옳은 것은?,text_only,,온도상승은 충격파의 압력에 반비례한다.,화염전파속도가 음속보다 빠르다.,압력은 수 기압 정도로 정압이다.,"전달에너지는 연소열에 기인하며, 충격파는 없다.",2
8,경비지도사2차,2012,1,소방학,11,포소화약제 중 저발포형과 고발포형으로 모두 사용할 수 있는 것은?,text_only,,단백포소화약제,불화단백포소화약제,합성계면활성제포소화약제,알코올형포소화약제,3
9,경비지도사2차,2020,1,소방학,30,소방기본법령상 소방대상물에 해당하지 않는 것은?,text_only,O,산림,인공 구조물,항해 중인 선박,선박 건조 구조물,3
10,경비지도사2차,2020,1,소방학,10,위험물안전관리법령상 위험물제조소에서 제4류 위험물을 취급하는 경우에 게시판에 표시하여야 하는 주의사항은?,text_only,O,화기엄금,화기주의,물기엄금,물기주의,1
11,경비지도사2차,2016,1,소방학,35,소방기본법령상 소방신호의 종류가 아닌 것은?,text_only,O,대피신호,발화신호,해제신호,훈련신호,1
12,경비지도사2차,2010,1,소방학,1,정전기 발생의 방지대책이 아닌 것은?,text_only,,습도를 낮게 한다.,접지를 한다.,공기를 이온화시킨다.,물체간에 마찰과 충격을 최소화한다.,1
13,경비지도사2차,2012,1,소방학,6,수소화알루미늄리튬이 물과 반응할 때 생성되는 가스는?,text_only,,메탄,포스핀,수소,에탄,3
14,경비지도사2차,2019,1,소방학,9,분진폭발이 발생할 수 있는 물질을 모두 고른 것은?\n\nㄱ. 밀가루     ㄴ. 건조사\nㄷ. 팽창질석     ㄹ. 석탄가루,text_only,,"ㄱ, ㄴ","ㄱ, ㄹ","ㄴ, ㄷ","ㄷ, ㄹ",2
15,경비지도사2차,2018,1,소방학,15,다음 중 소방기본법상 소방대상물을 모두 고른 것은?\n\nㄱ. 건축물     ㄴ. 차량     ㄷ. 항해 중인 선박\nㄹ. 선박 건조 구조물     ㅁ. 산림,text_only,O,"ㄴ, ㄷ","ㄱ, ㄷ, ㄹ","ㄱ, ㄹ, ㅁ","ㄱ, ㄴ, ㄹ, ㅁ",4
16,경비지도사2차,2021,1,소방학,34,제6류 위험물인 과염소산(HClO$_4$)의 성질이 아닌 것은?,text_only,,산화성 액체이다.,불연성 물질이다.,자기반응성 물질이다.,상온에서 액체이다.,3
17,경비지도사2차,2021,1,소방학,39,폐쇄형 스프링클러설비 방식이 아닌 것은?,text_only,,습식,건식,준비작동식,일제살수식,4
18,경비지도사2차,2015,1,소방학,27,자동화재탐지설비와 연동으로 작동하여 자동적으로 화재발생 상황을 소방관서에 전달하는 설비는?,text_only,,비상경보설비,비상방송설비,자동화재속보설비,누전경보기,3
19,경비지도사2차,2019,1,소방학,5,다음 중 점화원이 아닌 것은?,text_only,,중합열,산화열,기화열,분해열,3
20,경비지도사2차,2008,1,소방학,10,다음 중 Fool Proof 원칙에 따른 피난계획에 해당하는 것은?,text_only,,안전구획의 설정,2방향 피난의 원칙으로 다중경로 확보,노약자 및 장애인을 배려한 피난계획,방화구획 설정에 의한 화재 손실의 최소화 및 피난 안전성 도모,3
